method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,2,3,15,inf
Random,2,2,2,3,16,inf
Random,2,2,2,3,17,inf
Random,2,2,2,3,18,inf
Random,2,2,2,3,19,inf
Random,2,2,2,3,20,inf
qLogEI,2,2,2,3,1,inf
qLogEI,2,2,2,3,2,inf
qLogEI,2,2,2,3,3,inf
qLogEI,2,2,2,3,4,inf
qLogEI,2,2,2,3,5,inf
qLogEI,2,2,2,3,6,inf
qLogEI,2,2,2,3,7,inf
qLogEI,2,2,2,3,8,inf
qLogEI,2,2,2,3,9,inf
qLogEI,2,2,2,3,10,inf
qLogEI,2,2,2,3,11,inf
qLogEI,2,2,2,3,12,inf
qLogEI,2,2,2,3,13,inf
qLogEI,2,2,2,3,14,inf
qLogEI,2,2,2,3,15,inf
qLogEI,2,2,2,3,16,inf
qLogEI,2,2,2,3,17,inf
qLogEI,2,2,2,3,18,inf
qLogEI,2,2,2,3,19,inf
qLogEI,2,2,2,3,20,inf
RL_Full,2,2,2,3,1,inf
RL_Full,2,2,2,3,2,inf
RL_Full,2,2,2,3,3,inf
RL_Full,2,2,2,3,4,inf
RL_Full,2,2,2,3,5,inf
RL_Full,2,2,2,3,6,inf
RL_Full,2,2,2,3,7,inf
RL_Full,2,2,2,3,8,inf
RL_Full,2,2,2,3,9,inf
RL_Full,2,2,2,3,10,inf
RL_Full,2,2,2,3,11,inf
RL_Full,2,2,2,3,12,inf
RL_Full,2,2,2,3,13,inf
RL_Full,2,2,2,3,14,inf
RL_Full,2,2,2,3,15,inf
RL_Full,2,2,2,3,16,inf
RL_Full,2,2,2,3,17,inf
RL_Full,2,2,2,3,18,inf
RL_Full,2,2,2,3,19,inf
RL_Full,2,2,2,3,20,inf
Random,2,2,2,4,1,inf
Random,2,2,2,4,2,inf
Random,2,2,2,4,3,inf
Random,2,2,2,4,4,inf
Random,2,2,2,4,5,inf
Random,2,2,2,4,6,inf
Random,2,2,2,4,7,inf
Random,2,2,2,4,8,inf
Random,2,2,2,4,9,inf
Random,2,2,2,4,10,inf
Random,2,2,2,4,11,inf
Random,2,2,2,4,12,inf
Random,2,2,2,4,13,inf
Random,2,2,2,4,14,inf
Random,2,2,2,4,15,inf
Random,2,2,2,4,16,inf
Random,2,2,2,4,17,inf
Random,2,2,2,4,18,inf
Random,2,2,2,4,19,inf
Random,2,2,2,4,20,inf
qLogEI,2,2,2,4,1,inf
qLogEI,2,2,2,4,2,inf
qLogEI,2,2,2,4,3,inf
qLogEI,2,2,2,4,4,inf
qLogEI,2,2,2,4,5,inf
qLogEI,2,2,2,4,6,inf
